"District","FIPS","Year","Free/Reduced Price Meal Eligibility","Variable","Measure Type","Value"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Free Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Eligible For Reduced Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2012-2013","Not Eligible For Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Free Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Reduced Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Not Eligible For Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Free Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Reduced Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Not Eligible For Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Free Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2013-2014","Eligible For Reduced Lunch","Four Year Graduation Rate","Percent","-6666"
